Counterparty,most_active_hour,most_active_weekday_int,hour_spread,unique_hour_day_combinations,most_active_weekday_name
P2P-052d3ebx,21,3,0,1,Miércoles
P2P-5d1cfc18,19,1,1,2,Lunes
P2P-701a759w,14,4,0,1,Jueves
Mi_Querencia,14,4,0,1,Jueves
P2P-dbfd03lh,19,1,2,2,Lunes
P2P-42e8a8f8,14,1,0,1,Lunes
P2P-d14daccb,18,2,0,1,Martes
DTJUY,21,2,0,1,Martes
P2P-bca1f2lm,17,3,0,1,Miércoles
P2P-3ceb7abv,20,2,0,1,Martes
P2P-7028feyo,13,4,0,1,Jueves
P2P-585bfaic,17,2,0,1,Martes
SEBROS,12,4,0,1,Jueves
P2P-ff54fa0s,17,2,0,1,Martes
P2P-2d5b05es,21,2,0,1,Martes
P2P-9003fcxt,17,2,3,2,Martes
P2P-9fed50t7,20,4,0,1,Jueves
P2P-f42396yf,15,3,1,2,Miércoles
P2P-8d9de39a,15,6,0,1,Sábado
P2P-34593exm,18,3,0,1,Miércoles
P2P-cc12c4gn,21,2,0,1,Martes
P2P-d17b99yo,17,6,5,3,Sábado
AgustinMoreira,16,2,0,1,Martes
P2P-ae7b0fif,16,4,0,1,Jueves
P2P-bf6eecot,18,2,0,1,Martes
GerryARUY,16,1,0,1,Lunes
Marcelo_Leites,9,3,5,2,Miércoles
P2P-3e70287h,14,2,0,1,Martes
P2P-74756e3n,21,3,0,1,Miércoles
P2P-b05de51u,15,1,0,1,Lunes
P2P-36e2afdk,11,1,0,1,Lunes
P2P-005858vl,19,1,0,1,Lunes
P2P-c498ee3q,11,2,0,1,Martes
P2P-8efc2bzm,13,3,0,1,Miércoles
P2P-fb212da6,21,3,0,1,Miércoles
P2P-26e237vv,14,6,0,1,Sábado
P2P-fb2c08is,14,1,0,1,Lunes
P2P-17fcd4oz,17,4,0,1,Jueves
P2P-24ad9axp,14,6,0,1,Sábado
P2P-1659ee7f,14,7,0,1,Domingo
P2P-ec65c65w,18,2,0,1,Martes
P2P-1c3aebzm,12,1,0,1,Lunes
P2P-8aa8aepp,11,1,4,2,Lunes
Juanmaster2002,18,2,0,1,Martes
Ebenezer,15,6,0,1,Sábado
sobrino77,20,2,0,1,Martes
P2P-52dcddtt,17,7,2,4,Domingo
P2P-3ed1d0yj,11,4,0,1,Jueves
P2P-6c79d2ws,21,3,0,1,Miércoles
P2P-fbbb88zh,12,5,0,1,Viernes
P2P-f75848v6,20,7,0,1,Domingo
arielo,20,3,1,2,Miércoles
P2P-d21c47dq,15,6,0,1,Sábado
P2P-fc7eeeq9,20,7,0,1,Domingo
P2P-306869s8,15,3,0,1,Miércoles
NicoGonzalezUy,19,5,8,3,Viernes
master1835,14,2,4,3,Martes
P2P-457943cp,12,4,0,1,Jueves
P2P-9680313t,17,3,0,1,Miércoles
P2P-d262c0he,18,1,0,1,Lunes
P2P-9e6860ta,16,6,0,1,Sábado
P2P-ca4e98ut,15,1,0,1,Lunes
P2P-14f1f0rf,13,1,0,1,Lunes
P2P-8ee834xt,13,5,1,2,Viernes
P2P-2e3e6fne,21,5,0,1,Viernes
hrgonzalez7,19,1,0,1,Lunes
P2P-16f9f8zi,15,3,0,1,Miércoles
P2P-d238f8ea,14,5,0,1,Viernes
P2P-3478c3ar,13,1,0,1,Lunes
P2P-993631ii,18,5,2,2,Viernes
P2P-386486ut,16,6,0,1,Sábado
P2P-6b396dkn,17,2,0,1,Martes
P2P-5cee5cyo,18,4,0,1,Jueves
P2P-344833ni,22,5,1,2,Viernes
P2P-a42ae0em,15,2,0,1,Martes
Elhombregsto,15,3,1,2,Miércoles
P2P-798968e1,15,4,0,1,Jueves
Grox,13,4,0,1,Jueves
P2P-2912c707,22,2,1,2,Martes
P2P-2eea6665,20,1,1,2,Lunes
P2P-c6e832b4,20,2,0,1,Martes
P2P-b3bd895x,14,5,1,2,Viernes
P2P-2b04dcyl,4,7,0,1,Domingo
P2P-6b3180cp,10,3,5,3,Miércoles
P2P-a7ed35zs,15,1,0,1,Lunes
P2P-57aace59,19,2,0,1,Martes
JuanSH,16,2,0,1,Martes
P2P-26235ct1,21,6,0,1,Sábado
P2P-b6719bc7,16,1,0,1,Lunes
P2P-bee3bdla,17,1,0,1,Lunes
P2P-63e1aaj2,18,1,4,2,Lunes
P2P-31cab5ok,21,1,0,1,Lunes
P2P-9b9f5fqt,16,5,0,1,Viernes
Impulsotrading,11,5,0,1,Viernes
P2P-55cdd7ej,17,2,1,2,Martes
facundo_cardona,12,1,0,1,Lunes
P2P-2815b9b6,11,6,0,1,Sábado
P2P-2974e3qc,16,6,4,2,Sábado
Intercambio1979,3,6,0,1,Sábado
Cryptoagil,15,5,0,1,Viernes
P2P-1e1fb6k0,13,6,0,1,Sábado
P2P-cb8617ez,15,1,2,2,Lunes
Agucrypto,23,1,0,1,Lunes
P2P-1b1b53o8,13,5,0,1,Viernes
P2P-16d3d2ak,16,3,0,1,Miércoles
P2P-43f9a3wy,16,1,0,1,Lunes
P2P-641ec0rg,15,6,0,1,Sábado
P2P-50f276ng,18,1,0,1,Lunes
P2P-d531f4lo,21,2,0,1,Martes
P2P-53b0604u,14,4,0,1,Jueves
puppet02,22,3,0,1,Miércoles
P2P-2c1484ty,12,4,0,1,Jueves
P2P-db4843fh,16,5,0,1,Viernes
P2P-f2820eag,14,6,0,1,Sábado
P2P-4b8ad0ug,22,3,0,1,Miércoles
P2P-dd5062pq,19,3,2,2,Miércoles
Secure-n-Fast,21,5,1,2,Viernes
P2P-ee12052y,16,1,0,1,Lunes
nacho11919,20,4,0,1,Jueves
Lorenzetti-17,19,3,0,1,Miércoles
P2P-77c976xy,14,3,0,1,Miércoles
P2P-b0b58ctm,18,3,5,3,Miércoles
P2P-d08921gg,18,1,0,1,Lunes
P2P-6a9e59sy,17,2,0,1,Martes
P2P-96540dcm,15,2,0,1,Martes
P2P-6d8bf5k5,15,4,0,1,Jueves
P2P-64f581sr,15,1,0,1,Lunes
P2P-b96d19lo,18,3,0,1,Miércoles
P2P-296841xk,17,3,5,3,Miércoles
P2P-3312c2kp,21,1,0,1,Lunes
P2P-316feaqf,19,3,0,1,Miércoles
P2P-6ca905rk,17,2,0,1,Martes
RAMZEZERG,16,3,0,1,Miércoles
P2P-2bb599rx,18,2,2,2,Martes
P2P-3d94c5q9,22,7,0,1,Domingo
P2P-a8edf6qu,15,1,0,1,Lunes
CryptoMinds-,15,4,0,1,Jueves
P2P-ce4ce7bg,19,7,0,1,Domingo
P2P-9632d7u8,15,1,0,1,Lunes
P2P-b46c86hw,13,3,0,1,Miércoles
P2P-f410a8iv,21,5,0,1,Viernes
P2P-416c79m4,16,2,0,1,Martes
P2P-da5414sr,15,2,3,2,Martes
P2P-1b8044xb,15,5,0,1,Viernes
BoogieMan2K,19,1,1,2,Lunes
CryptoMefis,19,7,0,1,Domingo
P2P-3a7d63mw,13,6,0,1,Sábado
P2P-bd3d6dvi,15,4,0,1,Jueves
P2P-6bd909ei,14,1,0,1,Lunes
P2P-6cc015hc,13,1,0,1,Lunes
P2P-f0ed8cpd,14,3,0,1,Miércoles
GroupSensei,14,4,0,1,Jueves
P2P-13997bfq,20,1,0,1,Lunes
COMANDOO,22,4,0,1,Jueves
P2P-e5e102xw,12,1,0,1,Lunes
Franchoo01,14,5,0,1,Viernes
P2P-e16811up,20,2,0,1,Martes
Rikimaffei,6,7,0,1,Domingo
Pochi08,16,7,0,1,Domingo
P2P-a2db87jm,16,6,0,1,Sábado
P2P-09ee271f,19,1,0,1,Lunes
P2P-334f26xr,18,6,0,1,Sábado
P2P-9270afkm,19,3,0,1,Miércoles
P2P-86b252c6,14,5,0,1,Viernes
P2P-320874cy,17,6,5,3,Sábado
P2P-348274fn,21,3,0,1,Miércoles
derkodierer,15,5,0,1,Viernes
P2P-eb9a1db5,18,1,0,1,Lunes
P2P-91057azg,21,3,0,1,Miércoles
P2P-ebb3acrk,20,2,0,1,Martes
P2P-94df26ob,18,5,0,1,Viernes
P2P-26e006xl,20,2,0,1,Martes
P2P-9a7c2czb,12,3,0,1,Miércoles
P2P-a54b1fiz,21,1,0,1,Lunes
P2P-4781f7mx,16,1,0,1,Lunes
Shorminoguez,14,4,11,3,Jueves
VDVMC,18,5,0,1,Viernes
P2P-4b523csi,22,6,0,1,Sábado
P2P-617b67s9,12,3,0,1,Miércoles
P2P-b894beif,12,5,1,2,Viernes
Rodusdt,16,3,0,1,Miércoles
P2P-a1fc8bta,14,2,0,1,Martes
P2P-f1cdffvf,19,4,9,3,Jueves
P2P-805322it,17,5,0,2,Viernes
P2P-aa29e44a,19,2,0,1,Martes
gustapelu,11,2,0,1,Martes
P2P-bc3c1at5,19,1,0,1,Lunes
P2P-1fd30axl,15,4,0,1,Jueves
P2P-7af467qs,13,1,1,2,Lunes
BolsoChange,20,1,20,3,Lunes
P2P-5c9cd3eq,19,7,0,1,Domingo
P2P-08526bn6,17,4,0,1,Jueves
P2P-88fb85ju,18,1,0,1,Lunes
P2P-8459c8gv,18,2,0,1,Martes
P2P-ee3e94uv,13,3,0,1,Miércoles
SealExch,14,2,0,1,Martes
P2P-c6528csm,18,3,0,1,Miércoles
P2P-7d6773bi,16,6,0,1,Sábado
P2P-8dfecavb,12,1,7,2,Lunes
P2P-b19535vo,16,5,0,1,Viernes
P2P-bddabebg,18,1,3,3,Lunes
P2P-ec17d7ic,19,4,0,1,Jueves
P2P-2caf952c,20,2,0,1,Martes
P2P-7aa470an,11,5,0,1,Viernes
P2P-a109deob,14,5,2,2,Viernes
P2P-7d10eehy,16,4,0,1,Jueves
P2P-8d6bff1l,13,1,0,1,Lunes
BruceR25,18,2,2,2,Martes
P2P-2060e2pw,20,2,0,1,Martes
P2P-0f33c4lb,15,3,0,1,Miércoles
P2P-4f49c1qz,21,1,0,1,Lunes
P2P-d77dc8fn,15,4,0,1,Jueves
JaviCambio,22,3,0,1,Miércoles
P2P-d4f4fdy2,15,6,0,1,Sábado
P2P-9bf649pi,17,2,1,2,Martes
P2P-1eb491ug,11,1,0,1,Lunes
JorgePerozo,14,6,0,1,Sábado
P2P-b5324bhc,14,4,0,1,Jueves
Aleuzenev1992,0,2,0,1,Martes
P2P-c61f9dvk,0,2,0,1,Martes
Perritomalvado,19,2,0,1,Martes
P2P-5190edir,18,3,1,2,Miércoles
P2P-5ff10350,20,1,0,1,Lunes
Carlosmroj,12,7,0,2,Domingo
P2P-d8ab33au,17,3,1,2,Miércoles
P2P-b3c8cf3u,18,4,3,2,Jueves
Andresovich,18,1,0,1,Lunes
P2P-45c2907o,18,6,2,2,Sábado
P2P-03da539f,17,7,1,2,Domingo
P2P-d3325cfj,14,2,3,2,Martes
Afrontora76,22,7,0,1,Domingo
Marteen28,10,4,0,1,Jueves
P2P-cdf4eefj,20,2,0,1,Martes
P2P-9102c9uz,21,2,0,1,Martes
P2P-3ba6absy,15,3,0,1,Miércoles
DMV_BTC,13,2,0,1,Martes
P2P-d29332yr,22,5,0,1,Viernes
P2P-9b7001cz,12,6,9,2,Sábado
P2P-3380aeeq,19,5,0,1,Viernes
P2P-ccda2cht,19,2,0,1,Martes
juanisantana,1,4,0,1,Jueves
YahirAR,14,2,0,1,Martes
P2P-d6fe8d6c,19,2,1,2,Martes
P2P-53f3883o,16,1,0,1,Lunes
P2P-6dca87kb,21,3,0,1,Miércoles
ACEM_MVD,18,1,0,1,Lunes
P2P-21c2c6qo,22,5,0,1,Viernes
P2P-17e72ffv,18,7,1,2,Domingo
CriptoBarinas,17,1,0,1,Lunes
P2P-40f1cfdx,17,7,0,1,Domingo
P2P-516e5080,18,2,1,2,Martes
P2P-4a4762je,19,2,0,1,Martes
P2P-3804d0yt,22,2,0,1,Martes
P2P-898704yt,20,2,0,1,Martes
Christian,20,6,6,3,Sábado
P2P-497a2as0,15,1,0,1,Lunes
AF-Cripto,12,5,0,1,Viernes
P2P-6a1e99fc,16,5,0,1,Viernes
P2P-1be159ot,17,4,0,1,Jueves
P2P-3b48abgq,15,1,0,2,Lunes
P2P-5f308diy,19,7,0,1,Domingo
Tezos_Baker,10,2,0,1,Martes
P2P-0b1d2exa,11,5,0,1,Viernes
P2P-a8a629np,13,3,2,2,Miércoles
Candor2,17,2,0,1,Martes
P2P-0b816fx6,18,1,2,3,Lunes
P2P-5dcb70xu,19,7,0,1,Domingo
chelo,20,4,0,1,Jueves
P2P-f979d8yq,16,5,0,1,Viernes
P2P-6ba210ay,15,5,1,2,Viernes
P2P-08e03fsv,21,7,0,1,Domingo
P2P-b16270ur,17,3,0,1,Miércoles
P2P-3db9b5mh,16,5,4,2,Viernes
