Counterparty,total_ops,completion_rate,cancellation_rate,timing_variability_hours,volume_consistency,efficiency_score
P2P-3b608b66,1,0.0,0.0,,,
P2P-a8323cji,1,0.0,100.0,,,
COMANDOO,1,0.0,0.0,,,
P2P-7aa470an,1,100.0,0.0,,,
P2P-9c5ee1d2,1,0.0,0.0,,,
P2P-5ddaa7qs,1,100.0,0.0,,,
Cosmo_Change,1,100.0,0.0,,,
Agucrypto,1,0.0,100.0,,,
P2P-d4f4fdy2,1,0.0,0.0,,,
SealExch,1,0.0,0.0,,,
P2P-b7b4983u,1,100.0,0.0,,,
P2P-31cab5ok,1,0.0,100.0,,,
P2P-ae7b0fif,1,0.0,100.0,,,
P2P-08526bn6,1,100.0,0.0,,,
P2P-26235ct1,1,100.0,0.0,,,
P2P-e85c63xl,1,0.0,0.0,,,
P2P-80bba97v,1,0.0,0.0,,,
P2P-e982859p,1,100.0,0.0,,,
P2P-a2db87jm,1,0.0,0.0,,,
P2P-6ca905rk,1,0.0,0.0,,,
Yolicm2,1,100.0,0.0,,,
CryptoMinds-,1,100.0,0.0,,,
P2P-bc3c1at5,1,0.0,0.0,,,
Aleuzenev1992,1,100.0,0.0,,,
P2P-2497cbv2,1,0.0,0.0,,,
P2P-72528fj9,1,0.0,100.0,,,
P2P-ee3e94uv,1,0.0,100.0,,,
P2P-a1e404h2,1,0.0,100.0,,,
P2P-c5334f0i,1,100.0,0.0,,,
P2P-f410a8iv,1,0.0,0.0,,,
P2P-3e70287h,1,0.0,100.0,,,
P2P-6cc015hc,1,0.0,100.0,,,
P2P-24ad9axp,1,0.0,0.0,,,
P2P-4781f7mx,1,0.0,0.0,,,
P2P-3abea9xc,1,0.0,0.0,,,
P2P-c61f9dvk,1,0.0,100.0,,,
P2P-b96d19lo,1,0.0,0.0,,,
Candor2,1,100.0,0.0,,,
P2P-9632d7u8,1,0.0,0.0,,,
P2P-91057azg,1,0.0,100.0,,,
P2P-6d8bf5k5,1,100.0,0.0,,,
P2P-abd0c8n7,1,0.0,100.0,,,
P2P-425d58sx,1,0.0,0.0,,,
P2P-b70609bj,1,100.0,0.0,,,
derkodierer,1,0.0,100.0,,,
P2P-585bfaic,1,0.0,0.0,,,
P2P-b8ea48es,1,0.0,0.0,,,
P2P-500294mc,1,0.0,0.0,,,
P2P-3312c2kp,1,100.0,0.0,,,
P2P-3a7d63mw,1,100.0,0.0,,,
P2P-b46c86hw,1,0.0,100.0,,,
P2P-db4843fh,1,0.0,100.0,,,
P2P-a79d9blj,1,100.0,0.0,,,
P2P-bb561bea,1,100.0,0.0,,,
P2P-36e075lt,1,0.0,0.0,,,
P2P-5dcb70xu,1,100.0,0.0,,,
P2P-2efb3agn,1,0.0,100.0,,,
P2P-617b67s9,1,100.0,0.0,,,
P2P-3380aeeq,1,0.0,100.0,,,
P2P-4392104p,1,0.0,0.0,,,
P2P-aa29e44a,1,0.0,0.0,,,
P2P-bca1f2lm,1,0.0,0.0,,,
P2P-563f92xu,1,0.0,0.0,,,
P2P-f82ccbmg,1,100.0,0.0,,,
P2P-2b04dcyl,1,0.0,100.0,,,
P2P-eafc4fyo,1,0.0,100.0,,,
P2P-348274fn,1,0.0,0.0,,,
Marteen28,1,0.0,0.0,,,
P2P-ab01a3gj,1,0.0,100.0,,,
Ebenezer,1,0.0,0.0,,,
JoacoRSC,1,100.0,0.0,,,
sobrino77,1,0.0,0.0,,,
ArmanddUSDT,1,0.0,100.0,,,
P2P-abb861nd,1,0.0,0.0,,,
P2P-d77dc8fn,1,0.0,0.0,,,
Rodusdt,1,100.0,0.0,,,
P2P-36741aps,1,0.0,0.0,,,
P2P-416c79m4,1,0.0,100.0,,,
P2P-d238f8ea,1,100.0,0.0,,,
P2P-53f3883o,1,0.0,0.0,,,
P2P-6e9da4qu,1,0.0,0.0,,,
P2P-5f308diy,1,0.0,100.0,,,
Varo,1,0.0,0.0,,,
andrewbit,1,100.0,0.0,,,
NeoxCript,1,100.0,0.0,,,
P2P-a7ed35zs,1,100.0,0.0,,,
P2P-adaaf6mb,1,0.0,100.0,,,
P2P-43f9a3wy,1,0.0,100.0,,,
P2P-841799ih,1,100.0,0.0,,,
P2P-b19535vo,1,0.0,0.0,,,
P2P-616866pt,1,0.0,0.0,,,
P2P-c8d34aot,1,100.0,0.0,,,
facundo_cardona,1,0.0,100.0,,,
P2P-36e2afdk,1,100.0,0.0,,,
UruguayChange,1,0.0,100.0,,,
Falvez86,1,0.0,100.0,,,
P2P-0c9aaaxh,1,0.0,100.0,,,
P2P-3ca1005g,1,100.0,0.0,,,
P2P-05a3a5lu,1,100.0,0.0,,,
Tezos_Baker,1,0.0,0.0,,,
P2P-b81178qo,1,0.0,100.0,,,
Afrontora76,1,0.0,0.0,,,
miisvo,1,0.0,100.0,,,
P2P-9b260fhn,1,0.0,0.0,,,
P2P-979a36ft,1,100.0,0.0,,,
P2P-8459c8gv,1,0.0,0.0,,,
P2P-21d728gd,1,0.0,0.0,,,
P2P-c6e832b4,1,0.0,0.0,,,
CryptoMefis,1,100.0,0.0,,,
P2P-b9e8bd97,1,0.0,100.0,,,
P2P-58e04dzw,1,100.0,0.0,,,
P2P-d29332yr,1,0.0,0.0,,,
P2P-3ceb7abv,1,0.0,100.0,,,
MCriptoUru_,1,0.0,100.0,,,
P2P-8efc2bzm,1,100.0,0.0,,,
P2P-4b523csi,1,0.0,0.0,,,
P2P-2caf952c,1,0.0,100.0,,,
P2P-941aadlp,1,0.0,0.0,,,
P2P-b6f26baj,1,100.0,0.0,,,
P2P-63b24ckm,1,100.0,0.0,,,
P2P-1796acve,1,0.0,100.0,,,
nacho11919,1,100.0,0.0,,,
P2P-6aed9d74,1,0.0,100.0,,,
P2P-86b252c6,1,100.0,0.0,,,
P2P-64f581sr,1,0.0,100.0,,,
P2P-79dedcwc,1,0.0,100.0,,,
P2P-eb9a1db5,1,0.0,100.0,,,
P2P-abb7fctk,1,0.0,100.0,,,
P2P-40f1cfdx,1,0.0,0.0,,,
gustapelu,1,100.0,0.0,,,
P2P-ec17d7ic,1,0.0,100.0,,,
fbarrios,1,0.0,100.0,,,
P2P-55a4f41d,1,0.0,0.0,,,
P2P-54468f6a,1,100.0,0.0,,,
P2P-c485a9pu,1,0.0,0.0,,,
P2P-fb212da6,1,0.0,0.0,,,
P2P-a2ee76n0,1,0.0,0.0,,,
P2P-57aace59,1,0.0,0.0,,,
P2P-b0d06db7,1,100.0,0.0,,,
chelo,1,0.0,100.0,,,
P2P-6b5571x4,1,0.0,100.0,,,
P2P-bee3bdla,1,100.0,0.0,,,
GroupSensei,1,100.0,0.0,,,
P2P-b6719bc7,1,100.0,0.0,,,
P2P-9e22817n,1,0.0,100.0,,,
P2P-fa1bf4gd,1,0.0,0.0,,,
P2P-a3e0664r,1,0.0,100.0,,,
Juan,1,0.0,100.0,,,
P2P-2e3e6fne,1,0.0,0.0,,,
P2P-898704yt,1,0.0,0.0,,,
P2P-74756e3n,1,0.0,0.0,,,
P2P-e8dcc0hk,1,0.0,0.0,,,
Ludopata,1,0.0,100.0,,,
P2P-b288d9dc,1,0.0,100.0,,,
P2P-b4c861qe,1,0.0,100.0,,,
Andresovich,1,0.0,0.0,,,
Lorenzetti-17,1,0.0,100.0,,,
P2P-3ccfc2kp,1,100.0,0.0,,,
P2P-8f067ehp,1,0.0,0.0,,,
P2P-45d812ud,1,0.0,0.0,,,
AnaelaCRP,1,0.0,0.0,,,
Intercambio1979,1,0.0,0.0,,,
P2P-9e4ea2sp,1,100.0,0.0,,,
P2P-cf9dc2nv,1,0.0,0.0,,,
P2P-aab6888n,1,0.0,0.0,,,
P2P-94df26ob,1,0.0,0.0,,,
Guille13,1,0.0,0.0,,,
P2P-09ee271f,1,0.0,0.0,,,
P2P-c04b17kv,1,100.0,0.0,,,
Madison2020,1,0.0,0.0,,,
AgustinMoreira,1,0.0,100.0,,,
P2P-413ceagy,1,100.0,0.0,,,
P2P-7853865x,1,0.0,100.0,,,
P2P-a1fc8bta,1,100.0,0.0,,,
P2P-08e03fsv,1,100.0,0.0,,,
P2P-386486ut,1,0.0,0.0,,,
P2P-9102c9uz,1,0.0,0.0,,,
P2P-cc12c4gn,1,0.0,100.0,,,
P2P-514552zt,1,0.0,0.0,,,
P2P-005858vl,1,100.0,0.0,,,
P2P-72d623yb,1,0.0,0.0,,,
P2P-4a4762je,1,0.0,100.0,,,
P2P-5cee5cyo,1,0.0,100.0,,,
P2P-96540dcm,1,0.0,0.0,,,
P2P-7d6773bi,1,0.0,100.0,,,
wyatt09,1,100.0,0.0,,,
P2P-2d5b05es,1,0.0,0.0,,,
Capicua373,1,100.0,0.0,,,
P2P-688f27in,1,0.0,100.0,,,
P2P-883adezd,1,100.0,0.0,,,
CriptoBarinas,1,0.0,0.0,,,
Grox,1,0.0,0.0,,,
CryptooP2P-,1,100.0,0.0,,,
rmendez78,1,0.0,100.0,,,
EmiMz0806,1,100.0,0.0,,,
P2P-fc7eeeq9,1,0.0,0.0,,,
P2P-f8a5fcbs,1,0.0,100.0,,,
P2P-850fa7su,1,100.0,0.0,,,
puppet02,1,0.0,100.0,,,
P2P-86f714gg,1,100.0,0.0,,,
P2P-2b82cbiz,1,100.0,0.0,,,
hrgonzalez7,1,0.0,100.0,,,
P2P-26e006xl,1,0.0,100.0,,,
P2P-3700b1lf,1,0.0,0.0,,,
P2P-9b9f5fqt,1,0.0,100.0,,,
P2P-f0ed8cpd,1,0.0,0.0,,,
P2P-c6528csm,1,0.0,0.0,,,
Ronuk,1,100.0,0.0,,,
P2P-1b8044xb,1,0.0,0.0,,,
P2P-e5e102xw,1,0.0,100.0,,,
P2P-8d106fyd,1,0.0,100.0,,,
P2P-d262c0he,1,0.0,0.0,,,
P2P-d14daccb,1,0.0,100.0,,,
P2P-4ce019fq,1,0.0,0.0,,,
P2P-1659ee7f,1,0.0,0.0,,,
VDVMC,1,0.0,0.0,,,
P2P-e95c93ib,1,0.0,100.0,,,
P2P-0b1d2exa,1,100.0,0.0,,,
JorgePerozo,1,0.0,100.0,,,
P2P-5f6ce2pi,1,100.0,0.0,,,
P2P-798968e1,1,100.0,0.0,,,
P2P-9e6860ta,1,0.0,100.0,,,
P2P-50f276ng,1,0.0,0.0,,,
P2P-4f49c1qz,1,0.0,100.0,,,
P2P-ed4f615u,1,100.0,0.0,,,
P2P-3b1d6efv,1,0.0,0.0,,,
P2P-ce9ad80r,1,0.0,100.0,,,
P2P-ff54fa0s,1,0.0,100.0,,,
P2P-e81516zv,1,0.0,100.0,,,
P2P-306869s8,1,0.0,100.0,,,
P2P-641ec0rg,1,0.0,100.0,,,
P2P-42cd17nn,1,0.0,0.0,,,
P2P-9680313t,1,0.0,100.0,,,
P2P-0f33c4lb,1,0.0,0.0,,,
P2P-b19fd5fi,1,0.0,100.0,,,
P2P-ca4e98ut,1,0.0,0.0,,,
Pochi08,1,0.0,0.0,,,
P2P-bd3d6dvi,1,0.0,0.0,,,
P2P-13997bfq,1,0.0,100.0,,,
SEBROS,1,100.0,0.0,,,
P2P-990840cs,1,0.0,100.0,,,
P2P-d328441g,1,100.0,0.0,,,
Rikimaffei,1,0.0,100.0,,,
P2P-5466a6qe,1,0.0,0.0,,,
P2P-bf6eecot,1,0.0,100.0,,,
P2P-19e2a0cz,1,100.0,0.0,,,
P2P-6bd909ei,1,0.0,100.0,,,
P2P-3f4b87hq,1,0.0,0.0,,,
P2P-f2820eag,1,0.0,0.0,,,
P2P-00b39ame,1,0.0,0.0,,,
Sllns,1,100.0,0.0,,,
P2P-6d8f04rk,1,0.0,100.0,,,
P2P-9c2db2zh,1,0.0,100.0,,,
P2P-aad9deml,1,0.0,100.0,,,
YahirAR,1,0.0,0.0,,,
P2P-5485474r,1,0.0,100.0,,,
P2P-71d437r8,1,0.0,0.0,,,
P2P-ccda2cht,1,0.0,0.0,,,
P2P-b5324bhc,1,100.0,0.0,,,
MCZUY,1,0.0,0.0,,,
Visequera,1,100.0,0.0,,,
P2P-2f76f3gs,1,0.0,0.0,,,
P2P-14f1f0rf,1,100.0,0.0,,,
P2P-a0a640m2,1,0.0,0.0,,,
P2P-9fed50t7,1,0.0,0.0,,,
P2P-4b8ad0ug,1,0.0,0.0,,,
P2P-549f87mf,1,0.0,100.0,,,
P2P-1fd30axl,1,0.0,100.0,,,
P2P-f979d8yq,1,0.0,100.0,,,
P2P-16f9f8zi,1,0.0,0.0,,,
P2P-d08921gg,1,0.0,100.0,,,
P2P-e097b84k,1,0.0,100.0,,,
P2P-00f2add1,1,100.0,0.0,,,
AgusBonilla,1,0.0,0.0,,,
P2P-a42ae0em,1,100.0,0.0,,,
P2P-cdf4eefj,1,0.0,100.0,,,
P2P-e30816to,1,100.0,0.0,,,
P2P-3dca90jq,1,0.0,100.0,,,
P2P-11c417u1,1,0.0,100.0,,,
P2P-9a7c2czb,1,0.0,0.0,,,
deoh23,1,0.0,100.0,,,
P2P-a4c02fyy,2,100.0,0.0,,0.0,100.0
P2P-8aa8aepp,2,100.0,0.0,,0.0,100.0
P2P-3a08f7i0,3,100.0,0.0,0.0,0.0023124843892775235,99.99953750312214
P2P-5d7a64dj,2,100.0,0.0,,0.004377471650953783,99.99912450566981
KiwichangeUY,2,100.0,0.0,,0.006335451498933716,99.99873290970021
Franchoo01,2,100.0,0.0,,0.006536364755859041,99.99869272704883
Papi Greco,2,100.0,0.0,,0.10434929682416175,99.97913014063516
P2P-db68f5rk,3,100.0,0.0,79.19595949289332,0.1897100385808875,99.96205799228383
P2P-d21c47dq,2,100.0,0.0,,0.20116897155901176,99.9597662056882
P2P-b0b58ctm,3,100.0,0.0,12.020815280171307,0.2086499526934299,99.95827000946132
el_carpincho,2,100.0,0.0,,0.282842712474619,99.94343145750508
P2P-6b3180cp,3,100.0,0.0,417.9001076812496,0.30761659616995873,99.938476680766
P2P-b3c8cf3u,2,100.0,0.0,,0.33656926538430065,99.93268614692315
P2P-457943cp,2,100.0,0.0,,0.3487872330380683,99.93024255339239
P2P-426ff1qp,5,100.0,0.0,61.68738390735446,0.39189969028876515,99.92162006194225
P2P-805322it,2,100.0,0.0,,0.43010010098825097,99.91397997980235
P2P-b9dd8fdt,2,100.0,0.0,,0.4353742012015356,99.9129251597597
P2P-d8ab33au,2,100.0,0.0,,0.4714045207910317,99.90571909584179
Shorminoguez,3,100.0,0.0,3.5355339059327378,0.4934975563512807,99.90130048872975
P2P-d17b99yo,3,100.0,0.0,63.63961030678928,0.49474274426726816,99.90105145114654
P2P-9b7001cz,2,100.0,0.0,,0.5482681466237755,99.89034637067525
P2P-2d243a5d,8,100.0,0.0,100.32613484697461,0.573782279625344,99.88524354407494
Jeyurmona23,2,100.0,0.0,,0.6061636830615206,99.8787672633877
juanjdp,3,100.0,0.0,357.79603128039304,0.6138437662767833,99.87723124674464
P2P-91cd57bv,2,100.0,0.0,,0.6259429264479435,99.87481141471041
P2P-b3bd895x,2,100.0,0.0,,0.6448162952020581,99.8710367409596
Criptobuy,2,100.0,0.0,,0.6781369361802492,99.86437261276396
P2P-b894beif,3,100.0,0.0,0.0,0.7650031850721379,99.84699936298557
master1835,3,100.0,0.0,20.506096654409877,0.7733797059302376,99.84532405881396
Cmanuel_uy,3,100.0,0.0,149.19953083036154,0.8048692389049374,99.83902615221902
P2P-3f709fmu,2,100.0,0.0,,0.8105176543245012,99.8378964691351
P2P-7af467qs,2,100.0,0.0,,1.0101525445522108,99.79796949108956
P2P-03da539f,2,100.0,0.0,,1.0561944547189221,99.78876110905622
emilianochinelli,5,100.0,0.0,97.72580689527886,1.1699919986962333,99.76600160026075
BoogieMan2K,3,66.66666666666666,0.0,135.0573952066306,0.002779910133163512,83.3327773513067
P2P-995f9drw,3,66.66666666666666,0.0,82.02438661763951,0.03922864678658482,83.32548760397601
poul35,3,66.66666666666666,0.0,73.53910524340094,0.1831159914874238,83.29671013503585
P2P-20ef4338,10,60.0,0.0,25.538097901849394,0.7464900092032649,79.85070199815935
RAMZEZERG,2,50.0,0.0,,0.0,75.0
P2P-bbd542yf,2,50.0,0.0,,0.0,75.0
P2P-eaaa84sr,2,50.0,0.0,,0.0,75.0
P2P-eadba4ij,2,50.0,0.0,,0.0,75.0
IluminaTuAlma,2,50.0,0.0,,0.0,75.0
P2P-29ba96rr,2,50.0,0.0,,0.0034242459137363078,74.99931515081725
P2P-b78d47da,2,50.0,0.0,,0.10049448471649422,74.9799011030567
P2P-c5525bjo,2,50.0,0.0,,0.10606601717798213,74.9787867965644
P2P-3478c3ar,2,50.0,0.0,,0.45829694722385306,74.90834061055523
P2P-344833ni,2,50.0,0.0,,0.8162784479239122,74.83674431041521
Carlosmroj,2,50.0,0.0,,0.997992112099854,74.80040157758003
P2P-52dcddtt,5,60.0,20.0,22.338307903688676,0.47729595953469034,73.90454080809306
NicoGonzalezUy,3,66.66666666666666,33.33333333333333,40.30508652763321,0.08444901571864984,73.3164435301896
P2P-0dc8a3t7,3,66.66666666666666,33.33333333333333,9.899494936611665,0.4282250337894948,73.24768832657543
Christian,3,66.66666666666666,33.33333333333333,11.313708498984761,0.7455905570074063,73.18421522193185
P2P-2c9a22fw,4,50.0,25.0,69.2820323027551,0.21000980705122468,67.45799803858975
P2P-516e5080,3,33.33333333333333,0.0,0.7071067811865476,0.0007210420756242497,66.66652245825153
P2P-5249e3nq,2,50.0,50.0,,0.0,60.0
P2P-f75848v6,2,50.0,50.0,,0.0,60.0
P2P-316feaqf,2,50.0,50.0,,0.0,60.0
SebaCripto,2,50.0,50.0,,0.0181708190095397,59.996365836198095
P2P-6ba210ay,2,50.0,50.0,,0.15713484026367724,59.968573031947265
P2P-55cdd7ej,2,50.0,50.0,,0.19303778270217653,59.961392443459566
P2P-3db9b5mh,2,50.0,50.0,,0.2714147240918061,59.94571705518164
P2P-7b4cc2q5,2,50.0,50.0,,0.9274903948618183,59.81450192102764
P2P-2eea6665,5,40.0,40.0,0.0,0.3650413853634451,57.92699172292731
P2P-85f40bca,3,33.33333333333333,33.33333333333333,157.6848122046001,0.18708562729838046,56.62924954120699
P2P-a8edf6qu,2,0.0,0.0,,0.0,50.0
P2P-582794jb,2,0.0,0.0,,0.0,50.0
P2P-2f1f56dq,2,0.0,0.0,,0.0,50.0
P2P-0b816fx6,4,0.0,0.0,0.0,0.0,50.0
P2P-334f26xr,2,0.0,0.0,,0.0,50.0
Marcelo_Leites,2,0.0,0.0,,0.0,50.0
P2P-1592ddyd,2,0.0,0.0,,0.0,50.0
P2P-52d73dld,2,0.0,0.0,,0.0,50.0
P2P-dd5062pq,2,0.0,0.0,,0.0,50.0
P2P-42e8a8f8,2,0.0,0.0,,0.0,50.0
P2P-95cdffle,2,0.0,0.0,,0.0007560013476255894,49.99984879973047
BruceR25,2,0.0,0.0,,0.0007898588351844777,49.99984202823296
P2P-e16811up,2,0.0,0.0,,0.0011601423809459352,49.99976797152381
P2P-f42396yf,2,0.0,0.0,,0.002135264112441296,49.99957294717751
P2P-5d1cfc18,2,0.0,0.0,,0.002716738967205519,49.99945665220656
P2P-da5414sr,2,0.0,0.0,,0.0039393135442147495,49.99921213729116
P2P-8d6bff1l,2,0.0,0.0,,0.004837674671743769,49.99903246506565
P2P-2974e3qc,2,0.0,0.0,,0.014455690705528816,49.99710886185889
P2P-43253b0t,2,0.0,0.0,,0.03381965083273877,49.99323606983346
P2P-dbfd03lh,2,0.0,0.0,,0.037880720420707906,49.99242385591586
P2P-b9b3b7w9,2,0.0,0.0,,0.1567831323152403,49.96864337353695
P2P-45c2907o,2,0.0,0.0,,0.15713484026367724,49.968573031947265
P2P-bddabebg,3,0.0,0.0,29.698484809834994,0.25729305457228774,49.94854138908555
P2P-437910jt,2,0.0,0.0,,0.47922382227176796,49.904155235545645
P2P-53408c34,3,0.0,0.0,32.526911934581186,0.5613876892218004,49.88772246215564
P2P-63e1aaj2,2,0.0,0.0,,0.6012755948356103,49.87974488103288
P2P-993631ii,2,0.0,0.0,,0.7128926784786765,49.85742146430427
P2P-cb8617ez,2,0.0,0.0,,0.8163874935828042,49.83672250128344
P2P-2bb599rx,3,0.0,0.0,17.67766952966369,0.8660254037844386,49.82679491924311
P2P-a07dd4pq,2,0.0,0.0,,0.9483443923925934,49.810331121521486
P2P-610493l6,2,0.0,0.0,,1.115173213646715,49.776965357270655
P2P-a109deob,2,0.0,0.0,,1.346333948987021,49.7307332102026
P2P-320874cy,3,33.33333333333333,66.66666666666666,41.012193308819754,0.28622857495131376,46.609420951676405
BolsoChange,3,33.33333333333333,66.66666666666666,75.66042558696059,1.0325355868459896,46.460159549297465
P2P-f098e2bh,4,0.0,25.0,11.846237095944574,0.0,42.5
P2P-9003fcxt,3,0.0,33.33333333333333,472.34732983261375,0.07370428968378204,39.98525914206324
P2P-2912c707,3,0.0,33.33333333333333,50.91168824543142,0.21052142120270245,39.95789571575946
arielo,3,0.0,33.33333333333333,356.38181771801993,0.7131973913518906,39.85736052172962
P2P-181cf8np,2,0.0,50.0,,0.0,35.0
P2P-a8a629np,2,0.0,50.0,,0.0,35.0
Elhombregsto,2,0.0,50.0,,0.0,35.0
P2P-eaef2b3q,2,0.0,50.0,,0.0,35.0
P2P-8ee834xt,2,0.0,50.0,,0.006547880483041953,34.9986904239034
P2P-39d1bcn0,2,0.0,50.0,,0.25712973861329,34.948574052277344
P2P-2e4c1f9q,4,0.0,50.0,138.8536399714942,0.26679306479561427,34.94664138704088
Secure-n-Fast,2,0.0,50.0,,0.282842712474619,34.94343145750508
P2P-76b381xc,2,0.0,50.0,,0.4884084742430207,34.9023183051514
P2P-d6fe8d6c,2,0.0,50.0,,0.5257214295172846,34.89485571409654
P2P-5de988uv,2,0.0,50.0,,1.4036700451546937,34.71926599096906
P2P-296841xk,3,0.0,66.66666666666666,173.9482681718907,0.5926746657644008,29.88146506684712
P2P-901346g0,2,0.0,100.0,,0.0,20.0
P2P-863acelf,3,0.0,100.0,2.8284271247461903,0.0,20.0
P2P-c9b50df9,2,0.0,100.0,,0.0,20.0
P2P-d3325cfj,2,0.0,100.0,,0.0,20.0
juanisantana,2,0.0,100.0,,0.0,20.0
P2P-9270afkm,2,0.0,100.0,,0.0,20.0
Cryptoagil,2,0.0,100.0,,0.0,20.0
GulagGhost,2,0.0,100.0,,0.0,20.0
P2P-9bf649pi,2,0.0,100.0,,0.00031333743278562224,19.999937332513444
P2P-5190edir,2,0.0,100.0,,0.0043986758669720075,19.999120264826608
P2P-17e72ffv,4,0.0,100.0,0.0,0.007930986547372242,19.998413802690525
P2P-7d4ea08o,2,0.0,100.0,,0.008081220356417687,19.998383755928717
P2P-f1cdffvf,7,0.0,100.0,15.513435037626795,0.20980260932742306,19.958039478134516
P2P-3b48abgq,3,0.0,100.0,50.91168824543142,0.26064385847116966,19.947871228305768
P2P-540afaog,2,0.0,100.0,,0.27439964643060055,19.945120070713884
CRYPTOURU,4,0.0,100.0,488.41375901995224,0.3228193309399805,19.935436133812004
