Counterparty,total_ops,completion_rate,cancellation_rate,timing_variability_hours,volume_consistency,efficiency_score
P2P-6a9e59sy,1,0.0,100.0,,,
P2P-62b1d38x,1,0.0,100.0,,,
P2P-3380aeeq,1,0.0,100.0,,,
P2P-cdf4eefj,1,0.0,100.0,,,
P2P-13997bfq,1,0.0,100.0,,,
P2P-a54b1fiz,1,0.0,100.0,,,
Elhombregsto,1,0.0,100.0,,,
P2P-91057azg,1,0.0,100.0,,,
P2P-cb4aacxy,1,0.0,100.0,,,
P2P-7d6773bi,1,0.0,100.0,,,
Rikimaffei,1,0.0,100.0,,,
P2P-1c3aebzm,1,0.0,100.0,,,
P2P-2b04dcyl,1,0.0,100.0,,,
JaviCambio,1,0.0,100.0,,,
P2P-ee3e94uv,1,0.0,100.0,,,
arielo,1,0.0,100.0,,,
Lorenzetti-17,1,0.0,100.0,,,
P2P-1796acve,1,0.0,100.0,,,
P2P-9680313t,1,0.0,100.0,,,
P2P-b81178qo,1,0.0,100.0,,,
P2P-2c9a22fw,1,0.0,100.0,,,
P2P-688f27in,1,0.0,100.0,,,
Secure-n-Fast,1,0.0,100.0,,,
P2P-d531f4lo,1,0.0,100.0,,,
hrgonzalez7,1,0.0,100.0,,,
P2P-3e70287h,1,0.0,100.0,,,
P2P-9e22817n,1,0.0,100.0,,,
Ganamosss,1,0.0,100.0,,,
P2P-ab01a3gj,1,0.0,100.0,,,
P2P-5cee5cyo,1,0.0,100.0,,,
P2P-aad9deml,1,0.0,100.0,,,
P2P-b46c86hw,1,0.0,100.0,,,
P2P-e81516zv,1,0.0,100.0,,,
P2P-ce9ad80r,1,0.0,100.0,,,
P2P-b4c861qe,1,0.0,100.0,,,
P2P-39d1bcn0,1,0.0,100.0,,,
Falvez86,1,0.0,100.0,,,
P2P-5ff10350,1,0.0,100.0,,,
P2P-6bd909ei,1,0.0,100.0,,,
P2P-9003fcxt,1,0.0,100.0,,,
P2P-6d8f04rk,1,0.0,100.0,,,
P2P-fbbb88zh,1,0.0,100.0,,,
P2P-416c79m4,1,0.0,100.0,,,
P2P-21c2c6qo,1,0.0,100.0,,,
P2P-55cdd7ej,1,0.0,100.0,,,
P2P-eb9a1db5,1,0.0,100.0,,,
P2P-5f308diy,1,0.0,100.0,,,
facundo_cardona,1,0.0,100.0,,,
P2P-d6fe8d6c,1,0.0,100.0,,,
P2P-adaaf6mb,1,0.0,100.0,,,
miisvo,1,0.0,100.0,,,
P2P-3d94c5q9,1,0.0,100.0,,,
P2P-79dedcwc,1,0.0,100.0,,,
P2P-db4843fh,1,0.0,100.0,,,
P2P-d08921gg,1,0.0,100.0,,,
P2P-ff54fa0s,1,0.0,100.0,,,
P2P-d14daccb,1,0.0,100.0,,,
P2P-1fd30axl,1,0.0,100.0,,,
P2P-3d1176to,1,0.0,100.0,,,
P2P-9e6860ta,1,0.0,100.0,,,
NicoGonzalezUy,1,0.0,100.0,,,
P2P-b9e8bd97,1,0.0,100.0,,,
derkodierer,1,0.0,100.0,,,
ArmanddUSDT,1,0.0,100.0,,,
UruguayChange,1,0.0,100.0,,,
P2P-2caf952c,1,0.0,100.0,,,
P2P-8d106fyd,1,0.0,100.0,,,
P2P-f8a5fcbs,1,0.0,100.0,,,
P2P-6b5571x4,1,0.0,100.0,,,
P2P-316feaqf,1,0.0,100.0,,,
P2P-910f6dcw,1,0.0,100.0,,,
P2P-cc12c4gn,1,0.0,100.0,,,
P2P-8ee834xt,1,0.0,100.0,,,
P2P-11c417u1,1,0.0,100.0,,,
P2P-e097b84k,1,0.0,100.0,,,
P2P-85f40bca,1,0.0,100.0,,,
Ludopata,1,0.0,100.0,,,
rmendez78,1,0.0,100.0,,,
pabliito07,1,0.0,100.0,,,
P2P-eaef2b3q,1,0.0,100.0,,,
P2P-26e006xl,1,0.0,100.0,,,
P2P-06f7efvb,1,0.0,100.0,,,
P2P-e95c93ib,1,0.0,100.0,,,
puppet02,1,0.0,100.0,,,
P2P-43f9a3wy,1,0.0,100.0,,,
P2P-abb7fctk,1,0.0,100.0,,,
P2P-31cab5ok,1,0.0,100.0,,,
Juan,1,0.0,100.0,,,
deoh23,1,0.0,100.0,,,
P2P-c61f9dvk,1,0.0,100.0,,,
P2P-3804d0yt,1,0.0,100.0,,,
P2P-2efb3agn,1,0.0,100.0,,,
P2P-52dcddtt,1,0.0,100.0,,,
P2P-3db9b5mh,1,0.0,100.0,,,
P2P-6cc015hc,1,0.0,100.0,,,
P2P-c2ec99nk,1,0.0,100.0,,,
P2P-eafc4fyo,1,0.0,100.0,,,
P2P-ec17d7ic,1,0.0,100.0,,,
P2P-72528fj9,1,0.0,100.0,,,
MCriptoUru_,1,0.0,100.0,,,
P2P-306869s8,1,0.0,100.0,,,
DTJUY,1,0.0,100.0,,,
P2P-0dc8a3t7,1,0.0,100.0,,,
P2P-4f49c1qz,1,0.0,100.0,,,
P2P-abd0c8n7,1,0.0,100.0,,,
P2P-daf17dok,1,0.0,100.0,,,
Mi_Querencia,1,0.0,100.0,,,
P2P-6dca87kb,1,0.0,100.0,,,
P2P-ee12052y,1,0.0,100.0,,,
P2P-3ba6absy,1,0.0,100.0,,,
P2P-ae7b0fif,1,0.0,100.0,,,
P2P-9270afkm,2,0.0,100.0,,0.0,20.0
P2P-901346g0,2,0.0,100.0,,0.0,20.0
Cryptoagil,2,0.0,100.0,,0.0,20.0
juanisantana,2,0.0,100.0,,0.0,20.0
P2P-863acelf,3,0.0,100.0,2.8284271247461903,0.0,20.0
P2P-c9b50df9,2,0.0,100.0,,0.0,20.0
P2P-d3325cfj,2,0.0,100.0,,0.0,20.0
GulagGhost,2,0.0,100.0,,0.0,20.0
P2P-9bf649pi,2,0.0,100.0,,0.00031333743278562224,19.999937332513444
P2P-5190edir,2,0.0,100.0,,0.0043986758669720075,19.999120264826608
P2P-17e72ffv,4,0.0,100.0,0.0,0.007930986547372242,19.998413802690525
P2P-7d4ea08o,2,0.0,100.0,,0.008081220356417687,19.998383755928717
P2P-2eea6665,2,0.0,100.0,,0.06734350297014738,19.98653129940597
P2P-f1cdffvf,7,0.0,100.0,15.513435037626795,0.20980260932742306,19.958039478134516
P2P-3b48abgq,3,0.0,100.0,50.91168824543142,0.26064385847116966,19.947871228305768
P2P-540afaog,2,0.0,100.0,,0.27439964643060055,19.945120070713884
CRYPTOURU,4,0.0,100.0,488.41375901995224,0.3228193309399805,19.935436133812004
P2P-2e4c1f9q,2,0.0,100.0,,0.33364670327750917,19.9332706593445
P2P-320874cy,2,0.0,100.0,,0.385694607919935,19.922861078416016
P2P-8dfecavb,2,0.0,100.0,,0.4736412989021135,19.90527174021958
P2P-756ddemc,2,0.0,100.0,,0.7487012977269326,19.850259740454614
P2P-296841xk,2,0.0,100.0,,0.8007206073933375,19.839855878521334
BolsoChange,2,0.0,100.0,,1.3295915359754304,19.734081692804917
